Predictions: (Task 2, Task 6, Task 10, Task 12, Task 13)

No         Predictions     Hop latency [us]     Accuracy [%]        
0          (3 1 1 1 2)     15.135               80.000              
1          (3 5 2 1 2)     7.867                90.000              
2          (3 3 2 1 2)     13.047               93.333              
3          (7 4 0 3 1)     7.212                75.000              
4          (3 5 2 1 1)     12.240               80.000              
5          (3 1 2 1 2)     7.208                83.333              
6          (3 1 2 1 2)     12.690               82.857              
7          (3 3 2 1 2)     7.181                82.500              
8          (3 4 0 5 2)     8.849                77.778              
9          (5 1 2 1 2)     7.324                78.000              
10         (3 1 2 1 2)     12.281               78.182              
11         (5 3 2 1 2)     7.222                76.667              
12         (2 3 1 1 2)     12.209               78.462              
13         (3 5 2 1 1)     7.232                80.000              
14         (3 5 1 1 2)     12.926               81.333              
15         (3 1 2 1 2)     7.253                80.000              
16         (5 3 2 1 1)     12.249               81.176              
17         (3 1 2 1 2)     7.283                81.111              
18         (3 5 2 1 2)     12.281               81.053              
19         (5 3 2 2 1)     7.324                81.000              
20         (5 1 2 1 2)     12.587               80.000              
21         (3 3 2 1 2)     7.211                80.000              
22         (3 5 2 1 2)     12.800               80.870              
23         (3 1 1 1 2)     7.243                80.833              
24         (5 3 2 1 1)     12.546               80.800              
25         (5 3 2 1 2)     7.201                81.538              
26         (4 4 0 2 3)     12.782               79.259              
27         (5 5 2 1 2)     7.272                80.000              
28         (3 3 2 1 2)     10.049               80.690              
29         (3 5 1 2 1)     10.079               80.667              
30         (0 4 1 3 1)     8.051                79.355              
31         (3 1 2 1 2)     12.158               80.000              
32         (3 1 2 1 2)     7.233                80.000              
33         (0 4 0 0 3)     12.720               78.235              
34         (3 3 2 1 2)     7.222                78.857              
35         (5 3 2 1 2)     12.363               78.889              
36         (3 1 1 1 2)     7.263                78.378              
37         (3 1 1 1 2)     12.446               78.421              
38         (3 1 0 2 2)     7.232                77.436              
39         (5 3 2 1 2)     12.886               77.500              
40         (5 5 0 1 1)     7.284                77.073              
41         (4 3 2 1 2)     12.815               77.619              
42         (5 5 2 1 1)     7.192                78.140              
43         (3 5 2 1 2)     10.070               78.182              
44         (3 3 2 1 2)     7.386                78.222              
45         (0 2 0 0 3)     12.138               76.957              
46         (3 5 1 2 1)     7.212                77.021              
47         (0 1 1 2 2)     12.619               76.667              
48         (3 1 1 1 2)     7.213                76.327              
49         (3 5 2 1 2)     12.885               76.800              
50         (3 3 2 1 2)     7.202                77.255              
51         (7 4 0 3 0)     12.987               75.769              
52         (5 3 2 1 2)     7.202                76.226              
53         (4 3 0 0 3)     11.165               75.556              
54         (3 5 2 1 2)     12.702               76.000              
55         (3 3 2 1 2)     7.255                76.429              
56         (3 3 2 1 2)     12.455               76.842              
57         (3 3 2 1 2)     7.971                77.241              
58         (3 3 2 1 2)     13.008               77.627              
59         (3 3 2 1 2)     7.234                78.000              
60         (3 5 2 1 2)     12.762               78.361              
61         (3 6 2 1 1)     7.959                78.710              
62         (4 1 2 1 2)     7.969                79.048              
63         (3 5 2 1 2)     12.895               79.375              
64         (3 5 2 1 2)     7.212                79.692              
65         (5 3 2 1 2)     12.292               79.697              
66         (3 1 1 1 1)     7.201                79.701              
67         (2 1 1 1 2)     13.766               80.000              
68         (5 5 1 2 1)     7.283                79.420              
69         (3 1 2 1 2)     10.059               79.429              
70         (6 5 1 1 2)     13.664               79.437              
71         (0 2 0 5 3)     7.253                78.611              
72         (3 5 1 1 1)     12.498               78.356              
73         (3 1 2 1 2)     7.223                78.378              
74         (3 3 2 1 2)     12.322               78.667              
75         (3 3 2 1 2)     7.213                78.947              
76         (3 3 2 1 2)     7.972                78.961              
77         (3 1 2 1 2)     12.511               79.231              
78         (2 5 1 1 2)     7.274                78.987              
79         (0 4 0 0 0)     12.963               78.250              
80         (5 1 2 2 2)     7.273                77.778              
81         (2 3 2 1 2)     12.496               78.049              
82         (5 3 2 1 2)     7.577                78.313              
83         (3 3 2 1 2)     12.314               78.571              
84         (6 5 1 1 2)     7.198                78.824              
85         (3 3 1 1 2)     13.066               78.605              
86         (3 1 2 1 2)     7.256                78.621              
87         (5 3 1 1 2)     12.431               78.636              
88         (5 3 2 1 2)     7.237                77.978              
89         (0 4 0 0 0)     12.973               77.333              
90         (2 3 2 1 2)     7.192                77.143              
91         (3 1 2 1 2)     13.015               77.174              
92         (3 5 2 1 2)     7.280                77.419              
93         (3 1 2 1 2)     12.773               77.447              
94         (3 5 1 1 2)     7.224                77.474              
95         (7 4 0 0 1)     8.935                76.875              
96         (3 3 2 1 2)     7.400                76.907              
