Predictions: (Task 2, Task 6, Task 10, Task 12, Task 13)

No         Predictions     Hop latency [us]     Accuracy [%]        
0          (3 5 1 1 2)     72.993               100.000             
1          (3 5 2 0 2)     49.937               90.000              
2          (3 3 2 1 2)     43.520               93.333              
3          (2 5 2 5 0)     44.317               80.000              
4          (3 5 2 1 2)     42.055               80.000              
5          (3 1 2 1 2)     38.164               83.333              
6          (3 5 1 1 2)     38.144               82.857              
7          (3 3 2 1 2)     38.090               82.500              
8          (3 5 2 1 2)     38.058               84.444              
9          (3 3 2 0 2)     43.962               82.000              
10         (3 5 2 5 2)     38.220               81.818              
11         (3 3 2 1 1)     43.580               83.333              
12         (2 1 1 1 2)     38.000               83.077              
13         (3 5 2 1 1)     38.001               84.286              
14         (2 5 1 1 2)     44.389               84.000              
15         (2 1 1 1 2)     38.330               82.500              
16         (5 3 2 1 1)     44.274               83.529              
17         (3 3 2 1 2)     41.513               84.444              
18         (3 5 1 1 2)     41.492               85.263              
19         (3 3 2 1 1)     41.707               85.000              
20         (2 5 2 4 2)     40.094               81.905              
21         (3 1 2 1 2)     42.697               80.909              
22         (3 4 2 1 2)     38.348               80.870              
23         (2 1 2 3 2)     38.419               80.000              
24         (3 3 2 1 1)     45.455               80.800              
25         (3 3 2 1 2)     39.233               80.769              
26         (4 3 2 1 2)     44.932               81.481              
27         (2 5 2 0 2)     44.052               80.714              
28         (3 3 2 1 2)     44.379               81.379              
29         (3 5 1 0 1)     42.070               81.333              
30         (3 5 1 1 1)     43.032               81.935              
31         (3 1 2 1 2)     39.162               82.500              
32         (3 3 2 1 2)     40.972               83.030              
33         (0 4 1 5 1)     43.960               82.353              
34         (3 1 2 1 2)     38.539               82.286              
35         (6 3 2 0 2)     38.102               81.667              
36         (3 5 2 5 2)     41.964               81.622              
37         (3 1 1 1 2)     42.169               81.579              
38         (3 5 2 1 2)     44.381               82.051              
39         (3 3 2 1 2)     43.203               82.500              
40         (3 5 2 1 2)     36.914               81.951              
41         (6 3 2 1 2)     38.102               81.905              
42         (5 5 2 1 1)     41.031               82.326              
43         (3 5 1 3 2)     39.545               82.273              
44         (2 3 2 1 2)     42.384               82.667              
